Country/Region,Confirmed
 Azerbaijan,1.0
"('St. Martin',)",2.0
Afghanistan,36933.71
Albania,44225.66
Algeria,60183.39
Andorra,5241.85
Angola,10928.58
Antigua and Barbuda,324.76
Argentina,1114355.14
Armenia,93486.32
Aruba,2.71
Australia,2494.04
Austria,212969.29
Azerbaijan,115091.79
Bahamas,4929.33
"Bahamas, The",3.33
Bahrain,73611.17
Bangladesh,360479.49
Barbados,1081.46
Belarus,143183.87
Belgium,67044.9
Belize,5541.23
Benin,3103.32
Bhutan,435.73
Bolivia,137857.19
Bosnia and Herzegovina,69306.05
Botswana,14233.39
Brazil,259418.08
Brunei,159.35
Bulgaria,126183.13
Burkina Faso,5043.31
Burma,64609.9
Burundi,1159.35
Cabo Verde,9039.19
Cambodia,1954.81
Cameroon,25214.64
Canada,27801.37
Cape Verde,1.0
Cayman Islands,1.0
Central African Republic,4029.08
Chad,2022.26
Channel Islands,1.0
Chile,36021.14
China,0.0
Colombia,41214.68
Comoros,1467.61
Congo (Brazzaville),5185.37
Congo (Kinshasa),13816.94
Costa Rica,105324.08
Croatia,109850.32
Cuba,25022.75
Curacao,1.0
Cyprus,17306.68
Czech Republic,522770.83
Denmark,31865.92
Diamond Princess,712.0
Djibouti,5449.84
Dominica,71.75
Dominican Republic,125275.46
East Timor,1.0
Ecuador,164374.8
Egypt,106514.15
El Salvador,33454.08
Equatorial Guinea,4353.24
Eritrea,1202.17
Estonia,30206.7
Eswatini,7695.19
Ethiopia,93426.78
Faroe Islands,1.43
Fiji,47.41
Finland,26906.44
France,170220.73
French Guiana,8.36
Gabon,9587.33
Gambia,2881.74
"Gambia, The",1.0
Georgia,111511.42
Germany,79612.22
Ghana,47024.13
Gibraltar,1.0
Greece,96955.59
Greenland,0.5
Grenada,70.82
Guadeloupe,20.78
Guam,1.0
Guatemala,101300.25
Guernsey,0.38
Guinea,10972.57
Guinea-Bissau,2259.15
Guyana,4658.29
Haiti,8102.76
Holy See,18.94
Honduras,92446.29
Hong Kong,5376.39
Hungary,218812.45
Iceland,3784.52
India,244785.93
Indonesia,584110.24
Iran,860321.41
Iraq,405434.29
Ireland,94241.5
Israel,330308.66
Italy,78555.74
Ivory Coast,20746.71
Jamaica,12977.1
Japan,4949.23
Jersey,0.75
Jordan,199435.54
Kazakhstan,158149.05
Kenya,62592.88
Kiribati,0.04
Kosovo,36306.58
Kuwait,115707.72
Kyrgyzstan,51809.36
Laos,136.28
Latvia,33625.84
Lebanon,154926.72
Lesotho,4463.88
Liberia,1309.93
Libya,68189.96
Liechtenstein,1107.68
Lithuania,79518.51
Luxembourg,26654.0
MS Zaandam,8.93
Macau,41.71
Madagascar,15091.24
Mainland China,2590.59
Malawi,12376.31
Malaysia,108835.19
Maldives,12281.93
Mali,5275.06
Malta,10147.46
Marshall Islands,3.76
Martinique,11.47
Mauritania,9287.03
Mauritius,537.24
Mayotte,3.5
Mexico,37490.94
Micronesia,1.0
Moldova,95776.35
Monaco,799.26
Mongolia,5356.43
Montenegro,34145.99
Morocco,230302.06
Mozambique,22993.09
Namibia,17901.88
Nepal,136969.94
Netherlands,39165.86
New Zealand,1829.93
Nicaragua,4415.75
Niger,2401.47
Nigeria,73102.73
North Ireland,1.0
North Macedonia,51525.14
Norway,37654.42
Oman,92909.04
Others,570.17
Pakistan,64100.81
Palestine,17.2
Panama,164675.51
Papua New Guinea,2033.38
Paraguay,85325.51
Peru,37522.14
Philippines,337619.03
Poland,842214.24
Portugal,312693.02
Puerto Rico,0.5
Qatar,115771.03
Republic of Ireland,21.0
Republic of the Congo,0.17
Reunion,12.45
Romania,377086.71
Russia,30760.93
Rwanda,8529.59
Saint Barthelemy,2.43
Saint Kitts and Nevis,26.01
Saint Lucia,1137.99
Saint Vincent and the Grenadines,519.27
Samoa,1.11
San Marino,1860.06
Sao Tome and Principe,1123.9
Saudi Arabia,271169.97
Senegal,17386.58
Serbia,212498.71
Seychelles,1376.01
Sierra Leone,2372.59
Singapore,43563.0
Slovakia,123977.49
Slovenia,78799.7
Solomon Islands,16.6
Somalia,5026.8
South Africa,767051.08
South Korea,42134.58
South Sudan,4163.33
Spain,84103.62
Sri Lanka,32057.27
St. Martin,2.0
Sudan,17229.02
Suriname,4861.76
Sweden,18560.32
Switzerland,251962.61
Syria,8052.51
Taiwan,688.1
Tajikistan,10096.82
Tanzania,466.09
Thailand,14452.0
The Bahamas,0.5
The Gambia,0.2
Timor-Leste,423.49
Togo,3758.63
Trinidad and Tobago,4796.09
Tunisia,99069.18
Turkey,1390878.55
UK,117439.97
US,226220.86
Uganda,18428.52
Ukraine,31433.64
United Arab Emirates,171949.19
Uruguay,38714.96
Uzbekistan,50357.3
Vanuatu,2.02
Vatican City,1.0
Venezuela,81353.1
Vietnam,1249.46
West Bank and Gaza,97254.52
Yemen,2318.23
Zambia,30808.11
Zimbabwe,14872.89
occupied Palestinian territory,3.57
